name,id,date,text,polarity,retweet,fav,follower,friendscount,avg_re,avg_fav
BarackObama,9.82E+17,04-04-2018 14:35,"b'RT @ObamaFoundation: This week\xe2\x80\x9450 years since Dr. Martin Luther King, Jr. was killed\xe2\x80\x94@BarackObama and @RepJohnLewis sat down with a group o\xe2\x80\xa6'",-4,12828,0,101652970,623384,5956,20389
BarackObama,9.78E+17,25-03-2018 15:34,b'Incredible to have a Chicago team in the Final Four. I\xe2\x80\x99ll take that over an intact bracket any day! Congratulations\xe2\x80\xa6 https://t.co/V9IbaSlbIp',4,20178,223663,101652970,623384,5956,20389
BarackObama,9.78E+17,24-03-2018 17:07,b'Michelle and I are so inspired by all the young people who made today\xe2\x80\x99s marches happen. Keep at it. You\xe2\x80\x99re leading\xe2\x80\xa6 https://t.co/d0DTg594Cs',4,328422,1591919,101652970,623384,5956,20389
BarackObama,9.76E+17,19-03-2018 21:48,b'Our most important task as a nation is to make sure all our young people can achieve their dreams. We\xe2\x80\x99ve started th\xe2\x80\xa6 https://t.co/gNw9ks6pMY',4,27306,137598,101652970,623384,5956,20389
BarackObama,9.76E+17,19-03-2018 15:10,"b'In Singapore with young people who are advocating for education, empowering young women, and getting involved all o\xe2\x80\xa6 https://t.co/V5uHCeMWUa'",4,26533,173985,101652970,623384,5956,20389
BarackObama,9.74E+17,16-03-2018 00:22,b'41: I like the competition. And the loyalty to the home team. - 44 https://t.co/XG3ChMtW0M',0,29941,281448,101652970,623384,5956,20389
BarackObama,9.74E+17,15-03-2018 23:16,b'Congrats to @LoyolaChicago and Sister Jean for a last-second upset - I had faith in my pick!',0,13179,130989,101652970,623384,5956,20389
BarackObama,9.74E+17,14-03-2018 20:12,"b'Just because I have more time to watch games doesn\xe2\x80\x99t mean my picks will be better, but here are my brackets this ye\xe2\x80\xa6 https://t.co/gWpZwlceV3'",4,39592,265293,101652970,623384,5956,20389
BarackObama,9.74E+17,14-03-2018 14:58,b'Have fun out there among the stars. https://t.co/S285MTwGtp',4,275435,1445291,101652970,623384,5956,20389
BarackObama,9.73E+17,12-03-2018 18:12,"b'Four years ago, @MichelleObama and I had the privilege to host Lt. Cmdr. Dan Cnossen and his fellow Paralympians an\xe2\x80\xa6 https://t.co/kneWyU2Tu1'",0,19603,172888,101652970,623384,5956,20389
BarackObama,9.69E+17,28-02-2018 02:58,"b'I got my start holding community meetings in Chicago, so it was fun to be home for one tonight. Michelle and I want\xe2\x80\xa6 https://t.co/1ammpZayJx'",4,37756,240590,101652970,623384,5956,20389
BarackObama,9.67E+17,22-02-2018 16:00,"b'Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless stu\xe2\x80\xa6 https://t.co/wXO3wBtJ8V'",4,454030,1651960,101652970,623384,5956,20389
BarackObama,9.66E+17,21-02-2018 16:33,"b'Billy Graham was a humble servant who prayed for so many - and who, with wisdom and grace, gave hope and guidance t\xe2\x80\xa6 https://t.co/V8WtgIRPEB'",4,35342,258762,101652970,623384,5956,20389
BarackObama,9.64E+17,15-02-2018 17:12,b'We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can hon\xe2\x80\xa6 https://t.co/LWGSkzRapH',4,382110,1327232,101652970,623384,5956,20389
BarackObama,9.64E+17,14-02-2018 16:25,"b'Happy Valentine\xe2\x80\x99s Day, @MichelleObama. You make every day and every place better. https://t.co/aWvyytR7Mm'",4,244954,1528685,101652970,623384,5956,20389
